,Crash_Date,Crash_Time,Day_of_Week,Trk_Aadt_Pct,Crash_Speed_Limit,Wthr_Cond_ID,Light_Cond_ID,Surf_Cond_ID,Traffic_Cntl_ID,Harm_Evnt_ID,FHE_Collsn_ID,Road_Relat_ID,Crash_Sev_ID,Shldr_Width_Left,Shldr_Width_Right,Median_Width,Nbr_Of_Lane,Func_Sys_ID,Average_AADT,RLD,PED,INT,Rural_Fl_N,Rural_Fl_Y,Cmv_Involv_Fl_N,Cmv_Involv_Fl_Y,Crash_Sev_ID_Bin
Crash_Date,1.0,-0.0050773687651691135,0.0002187842385091237,0.0215250534310235,0.007414949661390296,-0.009574618730106762,0.013538495763240718,-0.009192769286613372,-0.007768153514905019,-0.004071311661397926,-0.01956152068102051,-0.003462506194897241,0.02931128034620948,-0.004917364540669244,-0.019563202947436784,0.005431925474688107,-0.043869601276314625,0.02316489415656654,-0.055905753558254126,-0.006047520424009078,0.009385929849323169,-0.016780368746901014,-0.03484779822438836,0.03484779822438836,-0.016172609478231795,0.016172609478231795,-0.012741876611484694
Crash_Time,-0.0050773687651691135,1.0,0.04457148591414532,-0.021049763798628555,-0.040120209860004696,-0.03799412438511573,0.08513064931121933,-0.08235371389145327,-0.03479043046613351,-0.10914814275264895,0.09069967957747188,-0.11376760644129717,-0.006891543429802234,-0.023538530001322062,-0.03762717287673705,-0.03327231091202033,-0.04024462408431389,0.03623933953051862,-0.03830317918820237,-0.11384990701258002,0.007150219433857134,0.05921858236767614,-0.012818841091364778,0.012818841091364778,0.06377598593119646,-0.06377598593119646,0.011448458774982564
Day_of_Week,0.0002187842385091237,0.04457148591414532,1.0,-0.004446763436930538,0.001456650739947112,-0.00738638326791135,-0.002436535540709389,-0.0010240269091455862,0.0020248006618929374,-0.013631476060541388,0.012049532463850012,-0.01511109804853737,0.009022719229340155,-0.0017069255922218093,0.0028790837914991776,0.0021841774555755923,-0.0005119770401969338,-0.0008430018493715685,0.0004933114348302927,-0.01508556944332982,0.0024053786909069065,0.0018526539755089272,0.0024323648740001225,-0.0024323648740001225,0.011576528576770646,-0.011576528576770646,-0.006793807563179179
Trk_Aadt_Pct,0.0215250534310235,-0.021049763798628555,-0.004446763436930538,1.0,0.32207533745612965,0.0007063238706588128,0.08110692812509097,-0.03652197465808668,0.0297943895530631,0.044858324194255624,-0.056567346326699734,0.03988127440452949,-0.00719027290168902,0.04067491603174916,0.3559541939221013,0.07109550435445387,0.2288376668055426,-0.5185411234215759,0.2967748048705104,0.03416391101312822,-0.028837496774777892,-0.1571333793197402,-0.07085637022637523,0.07085637022637523,-0.10713823096032418,0.10713823096032418,0.005366831691672134
Crash_Speed_Limit,0.007414949661390296,-0.040120209860004696,0.001456650739947112,0.32207533745612965,1.0,-0.008920707911353404,0.031687628432237575,-0.004940291785696923,0.10738950637517024,0.12823612265751078,-0.08256658313289782,0.12209897029832893,0.0101197482868931,0.202116521125169,0.31699552702349415,0.2882165949168402,0.1633892766353713,-0.31623335937078967,0.21373963141767507,0.12048046465289843,-0.05731878178754027,-0.4432338861635618,-0.11870466004425827,0.11870466004425827,-0.09470629373266566,0.09470629373266566,-0.004867389346233993
Wthr_Cond_ID,-0.009574618730106762,-0.03799412438511573,-0.00738638326791135,0.0007063238706588128,-0.008920707911353404,1.0,-0.10407141103514757,-0.41364894797222324,0.031162510493959145,-0.11535665777402597,0.07739970630670681,-0.1215026555173264,-0.03797655185264909,-0.005832061439337302,0.005636140993374675,-0.00035605291622718303,0.014293424353691601,-0.0010807808417790607,0.020974433226278056,-0.12421705816699877,0.010051715592405844,0.018747108963319846,0.0399819940419021,-0.0399819940419021,-0.022205668366273572,0.022205668366273572,0.024100321875917922
Light_Cond_ID,0.013538495763240718,0.08513064931121933,-0.002436535540709389,0.08110692812509097,0.031687628432237575,-0.10407141103514757,1.0,0.06220230988013157,-0.04645225024276021,0.15855355206742422,-0.12315505102642894,0.16419811053864156,-0.004366254812838027,0.02870528355806814,0.043680612721235246,0.016410179796539588,0.03222968072413996,-0.0602162205572544,0.039665247887250454,0.17108943692361345,0.059223063939745246,-0.034331100665114765,0.026341840337316003,-0.026341840337316003,0.024511255553038534,-0.024511255553038534,0.03776540163655678
Surf_Cond_ID,-0.009192769286613372,-0.08235371389145327,-0.0010240269091455862,-0.03652197465808668,-0.004940291785696923,-0.41364894797222324,0.06220230988013157,1.0,0.003045672991697787,0.18007105751814254,-0.11838972504614359,0.19970758997359683,0.060964361167342634,0.021876647251077373,-0.0004096857619978855,0.0157846191828186,-0.013235108249314278,0.010256414618909039,-0.02150748417175866,0.2034850450838892,-0.017023373793753824,-0.03753650451457454,-0.020687681468341754,0.020687681468341754,0.026389478009555465,-0.026389478009555465,-0.04212339656960181
Traffic_Cntl_ID,-0.007768153514905019,-0.03479043046613351,0.0020248006618929374,0.0297943895530631,0.10738950637517024,0.031162510493959145,-0.04645225024276021,0.003045672991697787,1.0,0.02199824466167697,-0.022177864521000023,0.02956845790063176,-0.02158496396611913,0.05175612279885334,0.09333020413290287,0.05626739401896613,0.1189579711594064,-0.10166354667978987,0.12748294267129542,0.029357557177781213,0.002084831689280367,-0.17716409854582565,0.07054118992158753,-0.07054118992158753,-0.02492585305413462,0.02492585305413462,0.0253543918491065
Harm_Evnt_ID,-0.004071311661397926,-0.10914814275264895,-0.013631476060541388,0.044858324194255624,0.12823612265751078,-0.11535665777402597,0.15855355206742422,0.18007105751814254,0.02199824466167697,1.0,-0.6424603866636781,0.870849613392158,0.04927983700485191,0.043311363237884974,0.03528287031584197,0.0776461945921857,-0.020758203104067792,-0.059875446949484976,-0.03039340043402806,0.9083643985927123,-0.23512892966054116,-0.2536399461604104,-0.07993439209004413,0.07993439209004413,0.019287696477883982,-0.019287696477883982,-0.011995832538326309
FHE_Collsn_ID,-0.01956152068102051,0.09069967957747188,0.012049532463850012,-0.056567346326699734,-0.08256658313289782,0.07739970630670681,-0.12315505102642894,-0.11838972504614359,-0.022177864521000023,-0.6424603866636781,1.0,-0.6167187488793548,0.01013851014272968,-0.07922699423064268,-0.08915895732673432,-0.092560476855796,-0.05510982221751427,0.10650197762576254,-0.03978029328173683,-0.5933273170990403,-0.1298559763679526,0.17216159250783478,0.009113424106834401,-0.009113424106834401,-0.021998863827184068,0.021998863827184068,-0.042222311384666436
Road_Relat_ID,-0.003462506194897241,-0.11376760644129717,-0.01511109804853737,0.03988127440452949,0.12209897029832893,-0.1215026555173264,0.16419811053864156,0.19970758997359683,0.02956845790063176,0.870849613392158,-0.6167187488793548,1.0,0.04539415122553861,0.05091032529265385,0.0425512648818746,0.0787566887237967,-0.0042633538662732815,-0.061985732732189026,-0.014504497426689793,0.8794001277318857,-0.031102045479328738,-0.24461944367659577,-0.05959852085865706,0.05959852085865706,0.03861802617132913,-0.03861802617132913,-0.005066437358113637
Crash_Sev_ID,0.02931128034620948,-0.006891543429802234,0.009022719229340155,-0.00719027290168902,0.0101197482868931,-0.03797655185264909,-0.004366254812838027,0.060964361167342634,-0.02158496396611913,0.04927983700485191,0.01013851014272968,0.04539415122553861,1.0,-0.009460189845009464,-0.01995376273804453,0.002410906394360024,-0.034505030467008105,0.03432537363652697,-0.026406172736720468,0.026297093108868977,-0.09857742211790955,-0.04048007753200041,-0.0464062786479587,0.0464062786479587,-0.0032624860703388847,0.0032624860703388847,-0.780403507622783
Shldr_Width_Left,-0.004917364540669244,-0.023538530001322062,-0.0017069255922218093,0.04067491603174916,0.202116521125169,-0.005832061439337302,0.02870528355806814,0.021876647251077373,0.05175612279885334,0.043311363237884974,-0.07922699423064268,0.05091032529265385,-0.009460189845009464,1.0,0.7339087112044662,0.4180934561095734,0.4152633060399967,-0.33650186605084004,0.42250455077019006,0.030979763834178758,-0.02926036321120048,-0.13161797749035736,0.24049890744169472,-0.24049890744169472,0.002202355444008412,-0.002202355444008412,0.0010044734660088841
Shldr_Width_Right,-0.019563202947436784,-0.03762717287673705,0.0028790837914991776,0.3559541939221013,0.31699552702349415,0.005636140993374675,0.043680612721235246,-0.0004096857619978855,0.09333020413290287,0.03528287031584197,-0.08915895732673432,0.0425512648818746,-0.01995376273804453,0.7339087112044662,1.0,0.5493277019117457,0.6537066755234806,-0.6272135912554997,0.6967240044865721,0.01415140866905354,-0.029779911618027934,-0.24774405278523956,0.36835414161643026,-0.36835414161643026,-0.022151275526446763,0.022151275526446763,0.0010289598920923025
Median_Width,0.005431925474688107,-0.03327231091202033,0.0021841774555755923,0.07109550435445387,0.2882165949168402,-0.00035605291622718303,0.016410179796539588,0.0157846191828186,0.05626739401896613,0.0776461945921857,-0.092560476855796,0.0787566887237967,0.002410906394360024,0.4180934561095734,0.5493277019117457,1.0,0.33630327253513337,-0.24870843920968078,0.3455817986839661,0.051842342697138395,-0.03888039533944754,-0.17224122978848744,0.2538895600254526,-0.2538895600254526,-0.021649810500680534,0.021649810500680534,-0.010883227400079515
Nbr_Of_Lane,-0.043869601276314625,-0.04024462408431389,-0.0005119770401969338,0.2288376668055426,0.1633892766353713,0.014293424353691601,0.03222968072413996,-0.013235108249314278,0.1189579711594064,-0.020758203104067792,-0.05510982221751427,-0.0042633538662732815,-0.034505030467008105,0.4152633060399967,0.6537066755234806,0.33630327253513337,1.0,-0.6678051156837307,0.8503313617344587,-0.03712596953528983,-0.007076744998369714,-0.2255082074778567,0.4535792045373931,-0.4535792045373931,0.0010483200087880262,-0.0010483200087880262,0.00824300185171536
Func_Sys_ID,0.02316489415656654,0.03623933953051862,-0.0008430018493715685,-0.5185411234215759,-0.31623335937078967,-0.0010807808417790607,-0.0602162205572544,0.010256414618909039,-0.10166354667978987,-0.059875446949484976,0.10650197762576254,-0.061985732732189026,0.03432537363652697,-0.33650186605084004,-0.6272135912554997,-0.24870843920968078,-0.6678051156837307,1.0,-0.7163754808038161,-0.04606750703619034,0.012839106476826028,0.286206374780271,-0.2114783382260114,0.2114783382260114,0.044466261816105676,-0.044466261816105676,-0.022358807830130258
Average_AADT,-0.055905753558254126,-0.03830317918820237,0.0004933114348302927,0.2967748048705104,0.21373963141767507,0.020974433226278056,0.039665247887250454,-0.02150748417175866,0.12748294267129542,-0.03039340043402806,-0.03978029328173683,-0.014504497426689793,-0.026406172736720468,0.42250455077019006,0.6967240044865721,0.3455817986839661,0.8503313617344587,-0.7163754808038161,1.0,-0.04619043147540745,-0.010018826923992297,-0.278236448756043,0.4670806244660622,-0.4670806244660622,-0.007504363990269251,0.007504363990269251,0.0031490688758827206
RLD,-0.006047520424009078,-0.11384990701258002,-0.01508556944332982,0.03416391101312822,0.12048046465289843,-0.12421705816699877,0.17108943692361345,0.2034850450838892,0.029357557177781213,0.9083643985927123,-0.5933273170990403,0.8794001277318857,0.026297093108868977,0.030979763834178758,0.01415140866905354,0.051842342697138395,-0.03712596953528983,-0.04606750703619034,-0.04619043147540745,1.0,-0.04687322959597376,-0.27289323469827304,-0.09069404182759917,0.09069404182759917,0.020109972472567357,-0.020109972472567357,0.021949424955206645
PED,0.009385929849323169,0.007150219433857134,0.0024053786909069065,-0.028837496774777892,-0.05731878178754027,0.010051715592405844,0.059223063939745246,-0.017023373793753824,0.002084831689280367,-0.23512892966054116,-0.1298559763679526,-0.031102045479328738,-0.09857742211790955,-0.02926036321120048,-0.029779911618027934,-0.03888039533944754,-0.007076744998369714,0.012839106476826028,-0.010018826923992297,-0.04687322959597376,1.0,-0.0014727103324118451,0.02556333324246004,-0.02556333324246004,0.009378869610436677,-0.009378869610436677,0.12537099079782899
INT,-0.016780368746901014,0.05921858236767614,0.0018526539755089272,-0.1571333793197402,-0.4432338861635618,0.018747108963319846,-0.034331100665114765,-0.03753650451457454,-0.17716409854582565,-0.2536399461604104,0.17216159250783478,-0.24461944367659577,-0.04048007753200041,-0.13161797749035736,-0.24774405278523956,-0.17224122978848744,-0.2255082074778567,0.286206374780271,-0.278236448756043,-0.27289323469827304,-0.0014727103324118451,1.0,-0.05561913548426614,0.05561913548426614,0.03943718389533026,-0.03943718389533026,0.022914381601756545
Rural_Fl_N,-0.03484779822438836,-0.012818841091364778,0.0024323648740001225,-0.07085637022637523,-0.11870466004425827,0.0399819940419021,0.026341840337316003,-0.020687681468341754,0.07054118992158753,-0.07993439209004413,0.009113424106834401,-0.05959852085865706,-0.0464062786479587,0.24049890744169472,0.36835414161643026,0.2538895600254526,0.4535792045373931,-0.2114783382260114,0.4670806244660622,-0.09069404182759917,0.02556333324246004,-0.05561913548426614,1.0,-1.0,0.05170508297763846,-0.05170508297763846,0.025666910879223456
Rural_Fl_Y,0.03484779822438836,0.012818841091364778,-0.0024323648740001225,0.07085637022637523,0.11870466004425827,-0.0399819940419021,-0.026341840337316003,0.020687681468341754,-0.07054118992158753,0.07993439209004413,-0.009113424106834401,0.05959852085865706,0.0464062786479587,-0.24049890744169472,-0.36835414161643026,-0.2538895600254526,-0.4535792045373931,0.2114783382260114,-0.4670806244660622,0.09069404182759917,-0.02556333324246004,0.05561913548426614,-1.0,1.0,-0.05170508297763846,0.05170508297763846,-0.025666910879223456
Cmv_Involv_Fl_N,-0.016172609478231795,0.06377598593119646,0.011576528576770646,-0.10713823096032418,-0.09470629373266566,-0.022205668366273572,0.024511255553038534,0.026389478009555465,-0.02492585305413462,0.019287696477883982,-0.021998863827184068,0.03861802617132913,-0.0032624860703388847,0.002202355444008412,-0.022151275526446763,-0.021649810500680534,0.0010483200087880262,0.044466261816105676,-0.007504363990269251,0.020109972472567357,0.009378869610436677,0.03943718389533026,0.05170508297763846,-0.05170508297763846,1.0,-1.0,-0.014497786251904302
Cmv_Involv_Fl_Y,0.016172609478231795,-0.06377598593119646,-0.011576528576770646,0.10713823096032418,0.09470629373266566,0.022205668366273572,-0.024511255553038534,-0.026389478009555465,0.02492585305413462,-0.019287696477883982,0.021998863827184068,-0.03861802617132913,0.0032624860703388847,-0.002202355444008412,0.022151275526446763,0.021649810500680534,-0.0010483200087880262,-0.044466261816105676,0.007504363990269251,-0.020109972472567357,-0.009378869610436677,-0.03943718389533026,-0.05170508297763846,0.05170508297763846,-1.0,1.0,0.014497786251904302
Crash_Sev_ID_Bin,-0.012741876611484694,0.011448458774982564,-0.006793807563179179,0.005366831691672134,-0.004867389346233993,0.024100321875917922,0.03776540163655678,-0.04212339656960181,0.0253543918491065,-0.011995832538326309,-0.042222311384666436,-0.005066437358113637,-0.780403507622783,0.0010044734660088841,0.0010289598920923025,-0.010883227400079515,0.00824300185171536,-0.022358807830130258,0.0031490688758827206,0.021949424955206645,0.12537099079782899,0.022914381601756545,0.025666910879223456,-0.025666910879223456,-0.014497786251904302,0.014497786251904302,1.0
