ID,RIA_RTE_ID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,DI,CO,CITY,RU,F_SYSTEM,SPD_MAX,HP_MED_W,NUM_LANES,SUR_W,ADT_YEAR,ADT_CUR,ADT_ADJ,TRK_AADT_PCT,AADT_TRUCKS,LANE_WIDTH,LEN_SEC,LN_MILES,DVMT,DTRKVMT,top10,Corridor_ID,Shape_Length
1,IH0610-KG,7.9510000000000005,8.004,IH0610,IH,610,12,102,19750,4,1,55,20,6,68,2019,209377,209377,4.4,9109,12,0.053,0.318,11096.981000000002,482.777,1,1,0.053125
2,IH0610-KG,8.004,8.006,IH0610,IH,610,12,102,19750,4,1,55,20,6,68,2019,221024,221024,4.4,9783,12,0.002,0.012,442.048,19.566,1,2,0.002003
3,IH0610-KG,8.006,8.484,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,221024,221024,4.4,9783,12,0.478,3.824,105649.472,4676.274,1,3,0.478774
4,IH0610-KG,8.484,8.777000000000001,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,221024,221024,4.4,9783,12,0.293,2.344,64760.032,2866.4190000000003,1,4,0.2935
5,IH0610-KG,8.777000000000001,10.0,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,221024,221024,4.4,9783,12,1.2229999999999999,9.783999999999999,270312.352,11964.608999999999,1,5,1.22507
6,IH0610-KG,10.0,11.341,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,221024,221024,4.4,9783,12,1.341,10.728,296393.184,13119.003,1,6,1.343331
7,IH0610-KG,11.341,11.581,IH0610,IH,610,12,102,19750,4,1,55,32,8,120,2019,221024,221024,4.4,9783,13,0.24,1.92,53045.76,2347.92,1,7,0.24042800000000003
8,IH0610-KG,11.581,11.62,IH0610,IH,610,12,102,19750,4,1,55,32,8,98,2019,221024,221024,4.4,9783,12,0.039,0.312,8619.936,381.537,1,8,0.039008
9,IH0069-KG,28.63,28.693,IH0069,IH,69,12,102,19750,4,1,65,45,7,94,2019,316892,316892,3.8,12070,12,0.063,0.441,19964.196,760.41,2,1,0.063114
10,IH0069-KG,28.693,28.695,IH0069,IH,69,12,102,19750,4,1,65,45,7,94,2019,297342,297342,3.9,11589,12,0.002,0.013999999999999999,594.684,23.178,2,2,0.0020039999999999997
11,IH0069-KG,28.695,28.705,IH0069,IH,69,12,102,19750,4,1,60,61,10,122,2019,297342,297342,3.9,11589,12,0.01,0.1,2973.42,115.89,2,3,0.010015999999999999
12,IH0069-KG,28.705,29.219,IH0069,IH,69,12,102,19750,4,1,60,61,12,144,2019,297342,297342,3.9,11589,12,0.514,6.167999999999999,152833.788,5956.746,2,4,0.5148689999999999
13,IH0069-KG,29.219,29.795,IH0069,IH,69,12,102,19750,4,1,60,61,12,144,2019,297342,297342,3.9,11589,12,0.5760000000000001,6.912000000000001,171268.992,6675.264,2,5,0.5769479999999999
14,IH0069-KG,29.795,29.851,IH0069,IH,69,12,102,19750,4,1,60,38,12,144,2019,297342,297342,3.9,11589,12,0.055999999999999994,0.672,16651.152,648.984,2,6,0.056165
15,IH0069-KG,29.851,29.985,IH0069,IH,69,12,102,19750,4,1,60,38,12,144,2019,256208,256208,4.1,10578,12,0.134,1.608,34331.872,1417.4520000000002,2,7,0.13425
16,IH0069-KG,29.985,30.121,IH0069,IH,69,12,102,19750,4,1,60,51,10,120,2019,256208,256208,4.1,10578,11,0.136,1.36,34844.288,1438.608,2,8,0.136234
17,IH0069-KG,30.121,30.151,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.03,0.3,7686.24,317.34,2,9,0.030052
18,IH0069-KG,30.151,30.226,IH0069,IH,69,12,102,19750,4,1,60,47,10,138,2019,256208,256208,4.1,10578,11,0.075,0.75,19215.6,793.35,2,10,0.075129
19,IH0069-KG,30.226,30.253,IH0069,IH,69,12,102,19750,4,1,60,47,10,141,2019,256208,256208,4.1,10578,11,0.027000000000000003,0.27,6917.616,285.606,2,11,0.027045999999999997
20,IH0069-KG,30.253,30.294,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.040999999999999995,0.41,10504.528,433.69800000000004,2,12,0.041070999999999996
21,IH0069-KG,30.294,30.311999999999998,IH0069,IH,69,12,102,19750,4,1,60,62,10,142,2019,256208,256208,4.1,10578,11,0.018000000000000002,0.18,4611.744000000001,190.40400000000002,2,13,0.018024000000000002
22,IH0069-KG,30.311999999999998,30.359,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.047,0.47,12041.776000000002,497.166,2,14,0.047036
23,IH0069-KG,30.359,30.381,IH0069,IH,69,12,102,19750,4,1,60,48,10,142,2019,256208,256208,4.1,10578,11,0.022000000000000002,0.22,5636.576,232.71599999999998,2,15,0.022019
24,IH0069-KG,30.381,30.395,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.013999999999999999,0.14,3586.9120000000003,148.092,2,16,0.014027000000000001
25,IH0069-KG,30.395,30.409000000000002,IH0069,IH,69,12,102,19750,4,1,60,47,10,141,2019,256208,256208,4.1,10578,11,0.013999999999999999,0.14,3586.9120000000003,148.092,2,17,0.014027000000000001
26,IH0069-KG,30.409000000000002,30.480999999999998,IH0069,IH,69,12,102,19750,4,1,60,50,10,138,2019,256208,256208,4.1,10578,11,0.07200000000000001,0.72,18446.976000000002,761.6160000000001,2,18,0.072157
27,IH0069-KG,30.480999999999998,30.51,IH0069,IH,69,12,102,19750,4,1,60,50,10,110,2019,256208,256208,4.1,10578,11,0.028999999999999998,0.29,7430.031999999999,306.762,2,19,0.029073
28,IH0069-KG,30.51,30.572,IH0069,IH,69,12,102,19750,4,1,55,51,10,120,2019,256208,256208,4.1,10578,11,0.062,0.62,15884.896,655.836,2,20,0.062077999999999994
29,IH0069-KG,30.572,31.557,IH0069,IH,69,12,102,19750,4,1,60,42,10,120,2019,256208,256208,4.1,10578,12,0.985,9.85,252364.88,10419.33,2,21,0.9867319999999999
30,IH0069-KG,31.557,32.77,IH0069,IH,69,12,102,19750,4,1,60,28,10,124,2019,256208,256208,4.1,10578,12,1.213,12.13,310780.304,12831.114,2,22,1.215093
31,IH0069-KG,32.77,32.84,IH0069,IH,69,12,102,19750,4,1,55,28,6,72,2019,256208,256208,4.1,10578,12,0.07,0.42,17934.56,740.46,2,23,0.070104
32,IH0069-KG,32.84,33.053000000000004,IH0069,IH,69,12,102,19750,4,1,60,25,8,98,2019,256208,256208,4.1,10578,12,0.213,1.704,54572.304000000004,2253.114,2,24,0.21338200000000002
33,IH0069-KG,33.053000000000004,33.054,IH0069,IH,69,12,102,19750,4,1,60,25,8,98,2019,256208,256208,4.1,10578,12,0.001,0.008,256.20799999999997,10.578,2,25,0.001001
34,IH0069-KG,33.054,33.731,IH0069,IH,69,12,102,19750,4,1,60,25,8,98,2019,185410,185410,4.8,8840,12,0.677,5.416,125522.57,5984.68,2,26,0.6782060000000001
35,IH0069-KG,33.731,34.025,IH0069,IH,69,12,102,19750,4,1,60,38,8,106,2019,185410,185410,4.8,8840,12,0.294,2.352,54510.54,2598.96,2,27,0.294514
36,IH0069-KG,34.025,34.138000000000005,IH0069,IH,69,12,102,19750,4,1,60,38,8,106,2019,185410,185410,4.8,8840,12,0.113,0.904,20951.33,998.92,2,28,0.113199
37,IH0069-KG,34.138000000000005,34.144,IH0069,IH,69,12,102,19750,4,1,60,38,8,106,2019,185410,185410,4.8,8840,12,0.006,0.048,1112.46,53.04,2,29,0.006023
38,IH0069-KG,34.144,34.431999999999995,IH0069,IH,69,12,102,19750,4,1,60,38,8,106,2019,162327,162327,7.1,11596,12,0.28800000000000003,2.3040000000000003,46750.176,3339.6479999999997,3,1,0.28846700000000003
39,IH0069-KG,34.431999999999995,34.49,IH0069,IH,69,12,102,19750,4,1,60,70,6,72,2019,162327,162327,7.1,11596,12,0.057999999999999996,0.348,9414.966,672.568,3,2,0.058089
40,IH0069-KG,34.49,34.577,IH0069,IH,69,12,102,19750,4,1,60,70,6,72,2019,162327,162327,7.1,11596,12,0.087,0.522,14122.448999999999,1008.852,3,3,0.08718200000000001
41,IH0069-KG,34.577,34.705999999999996,IH0069,IH,69,12,102,19750,4,1,60,70,6,72,2019,162327,162327,7.1,11596,12,0.129,0.774,20940.183,1495.884,3,4,0.129225
42,IH0069-KG,34.705999999999996,34.988,IH0069,IH,69,12,102,19750,4,1,60,66,6,76,2019,162327,162327,7.1,11596,12,0.282,1.692,45776.21400000001,3270.072,3,5,0.282471
43,IH0069-KG,34.988,34.99,IH0069,IH,69,12,102,19750,4,1,60,66,6,76,2019,161500,161500,7.2,11566,12,0.002,0.012,323.0,23.131999999999998,3,6,0.002003
44,IH0069-KG,34.99,35.052,IH0069,IH,69,12,102,19750,4,1,60,66,6,76,2019,161500,161500,7.2,11566,12,0.062,0.37200000000000005,10013.0,717.092,3,7,0.062117
45,IH0069-KG,35.052,35.159,IH0069,IH,69,12,102,19750,4,1,60,26,6,104,2019,161500,161500,7.2,11566,12,0.107,0.642,17280.5,1237.562,3,8,0.107176
46,IH0069-KG,35.159,35.223,IH0069,IH,69,12,102,19750,4,1,60,70,6,104,2019,161500,161500,7.2,11566,12,0.064,0.384,10336.0,740.2239999999999,3,9,0.064092
47,IH0069-KG,35.223,35.257,IH0069,IH,69,12,102,19750,4,1,60,38,8,96,2019,161500,161500,7.2,11566,12,0.034,0.272,5491.0,393.244,3,10,0.034058
48,IH0069-KG,35.257,35.303000000000004,IH0069,IH,69,12,102,19750,4,1,60,38,8,96,2019,161500,161500,7.2,11566,12,0.046,0.368,7429.0,532.036,3,11,0.046107
49,IH0069-KG,35.303000000000004,35.859,IH0069,IH,69,12,102,19750,4,1,60,38,8,96,2019,161500,161500,7.2,11566,12,0.556,4.448,89794.0,6430.696,3,12,0.556941
50,IH0069-KG,35.859,36.184,IH0069,IH,69,12,102,19750,4,1,60,38,8,96,2019,161500,161500,7.2,11566,12,0.325,2.6,52487.5,3758.95,3,13,0.32554
51,IH0069-KG,36.184,36.302,IH0069,IH,69,12,102,19750,4,1,60,24,8,104,2019,161500,161500,7.2,11566,12,0.11800000000000001,0.9440000000000001,19057.0,1364.7879999999998,3,14,0.118246
52,IH0069-KG,36.302,36.313,IH0069,IH,69,12,102,19750,4,1,60,24,8,104,2019,161500,161500,7.2,11566,12,0.011000000000000001,0.08800000000000001,1776.5,127.226,3,15,0.011021
53,IH0069-KG,36.313,36.408,IH0069,IH,69,12,102,19750,4,1,60,24,8,104,2019,161500,161500,7.2,11566,12,0.095,0.76,15342.5,1098.77,3,16,0.095175
54,IH0069-KG,36.408,36.79,IH0069,IH,69,12,102,19750,4,1,60,24,8,104,2019,106640,106640,9.0,9582,12,0.382,3.056,40736.48,3660.324,3,17,0.38266100000000003
55,IH0069-KG,36.79,36.912,IH0069,IH,69,12,102,19750,4,1,60,24,8,104,2019,106640,106640,9.0,9582,12,0.122,0.976,13010.08,1169.004,3,18,0.12219000000000001
56,IH0069-KG,36.912,36.921,IH0069,IH,69,12,102,19750,4,1,60,24,6,104,2019,106640,106640,9.0,9582,12,0.009000000000000001,0.054000000000000006,959.76,86.238,3,19,0.008994
57,IH0069-KG,36.921,37.031,IH0069,IH,69,12,102,19750,4,1,55,24,6,104,2019,106640,106640,9.0,9582,12,0.11,0.66,11730.4,1054.02,3,20,0.11023699999999999
58,IH0069-KG,37.031,37.158,IH0069,IH,69,12,102,19750,4,1,60,65,8,104,2019,106640,106640,9.0,9582,12,0.127,1.016,13543.28,1216.914,3,21,0.127203
59,IH0069-KG,37.158,37.165,IH0069,IH,69,12,102,19750,4,1,60,65,8,104,2019,162215,162215,7.1,11591,12,0.006999999999999999,0.055999999999999994,1135.505,81.137,3,22,0.007006999999999999
60,IH0045-KG,40.598,40.82,IH0045,IH,45,12,102,19750,4,1,60,46,8,96,2019,183783,183783,8.4,15374,12,0.222,1.776,40799.826,3413.028,4,1,0.222534
61,IH0045-KG,40.82,40.977,IH0045,IH,45,12,102,19750,4,1,60,20,8,120,2019,183783,183783,8.4,15374,15,0.157,1.256,28853.931,2413.718,4,2,0.15679400000000002
62,IH0045-KG,40.977,41.235,IH0045,IH,45,12,102,19750,4,1,60,20,8,120,2019,183783,183783,8.4,15374,15,0.258,2.064,47416.014,3966.492,4,3,0.258141
63,IH0045-KG,41.235,41.309,IH0045,IH,45,12,102,19750,4,1,60,20,8,120,2019,183783,183783,8.4,15374,15,0.07400000000000001,0.5920000000000001,13599.942,1137.6760000000002,4,4,0.074139
64,IH0045-KG,41.309,41.544,IH0045,IH,45,12,102,19750,4,1,60,20,8,120,2019,183783,183783,8.4,15374,15,0.235,1.88,43189.005,3612.89,4,5,0.23544
65,IH0045-KG,41.544,41.951,IH0045,IH,45,12,102,19750,4,1,55,20,8,120,2019,183783,183783,8.4,15374,15,0.40700000000000003,3.2560000000000002,74799.681,6257.218000000001,4,6,0.407776
66,IH0045-KG,41.951,42.027,IH0045,IH,45,12,102,19750,4,1,55,20,8,120,2019,183783,183783,8.4,15374,15,0.076,0.608,13967.508,1168.424,4,7,0.076209
67,IH0045-KG,42.027,42.159,IH0045,IH,45,12,102,19750,4,1,55,20,8,120,2019,183783,183783,8.4,15374,15,0.132,1.056,24259.356,2029.368,4,8,0.13236199999999998
68,IH0045-KG,42.159,42.923,IH0045,IH,45,12,102,19750,4,1,55,20,8,120,2019,183783,183783,8.4,15374,15,0.764,6.112,140410.212,11745.736,4,9,0.765139
69,IH0045-KG,42.923,43.278999999999996,IH0045,IH,45,12,102,19750,4,1,55,20,6,72,2019,183783,183783,8.4,15374,12,0.35600000000000004,2.136,65426.748,5473.144,4,10,0.357202
70,IH0045-KG,43.278999999999996,44.905,IH0045,IH,45,12,102,19750,4,1,55,20,8,120,2019,183783,183783,8.4,15374,15,1.626,13.008,298831.158,24998.124,4,11,1.6278350000000001
71,IH0045-KG,44.905,44.992,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,183783,183783,8.4,15374,12,0.087,0.522,15989.121000000001,1337.5379999999998,4,12,0.087148
72,IH0045-KG,44.992,45.614,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,204123,204123,7.9,16148,12,0.622,3.7319999999999998,126964.506,10044.056,4,13,0.62337
73,IH0045-KG,45.614,45.821000000000005,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,187673,187673,8.3,15522,12,0.207,1.242,38848.311,3213.054,4,14,0.207317
74,IH0045-KG,45.821000000000005,45.926,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,187673,187673,8.3,15522,12,0.105,0.63,19705.665,1629.81,4,15,0.105314
75,IH0045-KG,45.926,46.022,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,187673,187673,8.3,15522,12,0.096,0.5760000000000001,18016.608,1490.112,4,16,0.09635
76,IH0045-KG,46.022,46.104,IH0045,IH,45,12,102,19750,4,1,60,6,6,72,2019,187673,187673,8.3,15522,12,0.08199999999999999,0.49200000000000005,15389.186000000002,1272.8039999999999,4,17,0.082423
